keyword,rank,title,snippet,link,total_words,h1_num,h1_len,h2_num,h2_len,h3_num,h3_len,header_total,img_count,internalLinks,externalLinks,total_link,h1_kcount,h2_kcount,h3_kcount,p_kcount,a_kcount,footer_kcount,link_kcount,imalt_kcount,meta_desc_len,meta_kcount,ti_used
social advertising,4,"Social Media Advertising 101 (+Examples, Costs, Tips & ...","Feb 12, 2023 — This complete guide to social media advertising has everything you need to succeed with paid social—top channels, costs, pro tips, and more!",https://www.wordstream.com/blog/ws/2022/07/18/social-media-advertising,3543.0,1.0,11.0,21.0,4.29,41.0,3.15,63,47,70,122,192,"{'advertising': 1, 'social': 1}","{'advertising': 12, 'social': 11}",{'social': 1},"{'advertising': 33, 'social': 34}","{'advertising': 20, 'social': 22}",{'advertising': 1},"{'advertising': 1, 'social': 1}","{'advertising': 19, 'social': 18}",9,"{'advertising': 1, 'social': 1}",1.0
social advertising,5,Social Media Advertising: Best Platforms + Tips for Success,Social media advertising is one of the most effective advertising types out there. Here's how to choose the right channels for your business.,https://www.bigcommerce.com/articles/omnichannel-retail/social-media-advertising/,4369.0,1.0,15.0,22.0,2.73,25.0,4.36,48,14,176,114,290,{'social': 1},"{'advertising': 4, 'social': 5}",{'social': 2},"{'advertising': 45, 'social': 46}","{'advertising': 4, 'social': 11}",,"{'advertising': 1, 'social': 1}",{'social': 1},9,{'social': 1},1.0
social advertising,6,What is Social Advertising? Everything You Need to Know,"Social advertising, also known as social media advertising, is a type of digital marketing that uses social media platforms and networks to deliver paid ...",http://www.meetsoci.com/resources/blog/advertising/social-advertising/,3221.0,2.0,11.0,6.0,5.33,12.0,4.25,20,26,16,131,147,"{'advertising': 1, 'social': 1}","{'advertising': 5, 'social': 5}","{'advertising': 1, 'social': 1}","{'advertising': 32, 'social': 55}","{'advertising': 8, 'social': 12}",,"{'advertising': 2, 'social': 1}","{'advertising': 2, 'social': 4}",9,"{'advertising': 1, 'social': 1}",1.0
social advertising,7,The Ultimate Guide to Paid Social Advertising,"Feb 23, 2023 — Paid social advertising can be a game-changer for performance marketers. Our ultimate guide explains how e-comm advertisers can flourish.",https://www.hunchads.com/blog/the-ultimate-guide-to-paid-social-advertising,4396.0,1.0,7.0,10.0,4.3,22.0,5.45,33,42,100,40,140,"{'advertising': 1, 'social': 1}","{'advertising': 3, 'social': 4}","{'advertising': 2, 'social': 2}","{'advertising': 35, 'social': 75}","{'advertising': 3, 'social': 2}",,"{'advertising': 1, 'social': 1}","{'advertising': 1, 'social': 2}",7,"{'advertising': 1, 'social': 1}",1.0
social advertising,8,"What Is Social Media Advertising? Definition, Costs, Best ...","Nov 24, 2022 — Social media advertising is an offshoot of digital marketing where paid ad campaigns are run on social media platforms to reach target audiences ...",https://www.spiceworks.com/marketing/advertising/articles/what-is-social-media-advertising/,3363.0,2.0,12.0,8.0,4.62,30.0,5.37,40,25,9,73,82,"{'advertising': 2, 'social': 2}","{'advertising': 5, 'social': 5}","{'advertising': 1, 'social': 2}","{'advertising': 29, 'social': 41}","{'advertising': 11, 'social': 6}",,"{'advertising': 2, 'social': 1}","{'advertising': 1, 'social': 1}",14,"{'advertising': 1, 'social': 1}",1.0
social advertising,9,Facebook Ads: Social Media Advertising For Your Business,"Billions of people are connected to a small business on Facebook. Use simple tools to create, run, and track your ads with easy-to-read reports.",https://www.facebook.com/business/ads,27.0,1.0,1.0,2.0,2.0,0.0,,3,1,23,23,46,,,,,,,,,4,{},1.0
social advertising,10,Paid Social Media: A Guide To Social Advertising Success,"Aug 18, 2022 — Match your audience with two or three platforms, and then expect to produce different ad creative based on your audience personas. · Advertise on ...",https://www.searchenginejournal.com/paid-social-media-advertising-success/460501/,1939.0,1.0,9.0,7.0,7.14,15.0,6.53,23,32,130,73,203,"{'advertising': 1, 'social': 2}","{'advertising': 2, 'social': 2}",,"{'advertising': 10, 'social': 20}","{'advertising': 7, 'social': 11}","{'advertising': 1, 'social': 1}","{'advertising': 1, 'social': 1}","{'advertising': 3, 'social': 6}",9,"{'advertising': 1, 'social': 2}",1.0
finance skills,1,Your Career in Finance — 10 Skills That Really Count,,https://www.roberthalf.com/blog/salaries-and-skills/your-career-in-finance-10-skills-that-really-count,1056.0,1.0,10.0,15.0,4.53,3.0,11.33,19,9,74,45,119,"{'skills': 1, 'finance': 1}","{'skills': 2, 'finance': 1}",,"{'skills': 10, 'finance': 16}","{'skills': 6, 'finance': 4}",{'finance': 1},"{'skills': 2, 'finance': 1}",,10,"{'skills': 1, 'finance': 1}",1.0
finance skills,2,Top 10 Finance Skills To Keep You Updated In 2023,"Feb 18, 2023 — Accounting Skills · Data Management · Cash Flow Management · Mathematics · Business Intelligence · Analytical Thinking · Financial Management.",https://emeritus.org/in/learn/top-10-finance-skills-to-keep-you-updated/,1389.0,2.0,7.0,7.0,5.14,16.0,4.88,25,31,4,128,132,"{'skills': 1, 'finance': 1}","{'skills': 2, 'finance': 4}","{'skills': 3, 'finance': 2}","{'skills': 15, 'finance': 23}","{'skills': 1, 'finance': 11}","{'skills': 2, 'finance': 1}","{'skills': 1, 'finance': 1}","{'skills': 1, 'finance': 5}",10,"{'skills': 1, 'finance': 1}",1.0
finance skills,3,7 Finance Skills Employers Look for on a Resume | HBS Online,"Jun 7, 2022 — Finance Skills You Need on Your Resume · 1. Accounting Skills · 2. Analytical Thinking Skills · 3. Financial Decision-Making Skills · 4. Management ...",https://online.hbs.edu/blog/post/finance-skills-employers-look-for-on-a-resume,2226.0,1.0,9.0,5.0,4.0,22.0,2.23,28,14,256,42,298,"{'skills': 1, 'finance': 1}","{'skills': 3, 'finance': 3}",{'skills': 7},"{'skills': 21, 'finance': 27}",{'finance': 13},{'finance': 1},"{'skills': 1, 'finance': 1}","{'skills': 4, 'finance': 5}",12,"{'skills': 1, 'finance': 1}",1.0
finance skills,4,Finance Skills: Definition and Examples,"Mar 10, 2023 — Examples of finance skills · Analytical thinking · Verbal communication · Persuasiveness · Problem-solving · Decision-making · Detail-oriented.",https://www.indeed.com/career-advice/finding-a-job/finance-skills,8.0,0.0,,0.0,,0.0,,0,0,0,0,0,,,,,,,"{'skills': 1, 'finance': 1}",,0,,1.0
finance skills,5,10 essential finance skills to include in your CV,"Aug 9, 2021 — 10 finance skills to include in your CV · A formal accounting qualification · Interpersonal skills · Ability to communicate · Financial reporting ...",https://www.roberthalf.com.au/blog/jobseekers/your-career-finance-10-skills-really-count,1002.0,1.0,8.0,13.0,3.62,3.0,12.0,17,5,57,44,101,"{'skills': 1, 'finance': 1}","{'skills': 3, 'finance': 1}",,"{'skills': 10, 'finance': 19}","{'skills': 4, 'finance': 6}",{'finance': 1},"{'skills': 1, 'finance': 1}","{'skills': 1, 'finance': 1}",12,"{'skills': 1, 'finance': 1}",1.0
finance skills,6,The Top 6 Skills to Advance Your Career in Finance,"Jan 13, 2023 — Top 6 Skills in Finance · Accounting Fundamentals · Capital IQ Fundamentals · Accounting Principles and Standards · Budgeting and Forecasting.",https://corporatefinanceinstitute.com/resources/team-development/top-6-skills-in-finance/,1231.0,1.0,5.0,2.0,5.5,7.0,2.71,10,26,18,183,201,"{'skills': 1, 'finance': 1}","{'skills': 1, 'finance': 1}",,"{'skills': 11, 'finance': 12}","{'skills': 2, 'finance': 5}",,"{'skills': 1, 'finance': 1}","{'skills': 1, 'finance': 3}",5,"{'skills': 1, 'finance': 1}",1.0
finance skills,7,Developing Finance Skills: Key Tips and Resources,"May 5, 2022 — 5 essential finance skills with examples · 1. Analytical thinking · 2. Problem-solving · 3. Strategic financial planning · 4. Quantitative risk ...",https://online.vu.edu.au/blog/developing-finance-skills-key-tips-and-resources,3020.0,2.0,7.0,6.0,6.33,23.0,3.0,31,14,88,34,122,{'finance': 2},"{'skills': 5, 'finance': 6}",{'finance': 3},"{'skills': 44, 'finance': 64}",{'finance': 6},{'finance': 2},"{'skills': 1, 'finance': 1}",{'finance': 2},0,,1.0
finance skills,8,Top 12 Crucial Finance Skills That Employers Value in 2023,"Feb 3, 2021 — Top Financial Skills · 1. Analytical Thinking. Analytical thinking is a crucial skill for finance professionals. · 2. Accounting Skills · 3.",https://www.upgrad.com/blog/finance-skills/,6287.0,1.0,10.0,25.0,7.96,19.0,3.74,45,25,44,629,673,"{'skills': 1, 'finance': 1}","{'skills': 5, 'finance': 4}",{'skills': 1},"{'skills': 20, 'finance': 25}","{'skills': 7, 'finance': 16}","{'skills': 1, 'finance': 8}","{'skills': 1, 'finance': 1}",{'finance': 2},13,"{'skills': 1, 'finance': 1}",1.0
finance skills,9,8 Skills Needed for a Career in Finance,"Dec 15, 2021 — 8 Skills Needed for a Career in Finance · 1. Interpersonal Skills · 2. Formal Qualifications · 3. Problem Solving Skills.",https://www.kangan.edu.au/study-with-us/our-blog/8-skills-needed-for-a-career-in-finance,1022.0,1.0,8.0,2.0,4.5,8.0,3.38,11,9,92,1,93,"{'skills': 1, 'finance': 1}",,{'skills': 4},"{'skills': 6, 'finance': 11}",,,"{'skills': 1, 'finance': 1}",,0,,1.0
finance skills,10,Important Financial Skills That Employers Value,"Aug 5, 2021 — More Finance Skills · Compliance · Decision Making · Dexterity · Estate Planning · Handling Detailed Work · Handling Money · Investments · Investment ...",https://www.thebalancemoney.com/finance-skills-list-2062397,1256.0,1.0,6.0,6.0,4.17,4.0,2.5,11,36,18,186,204,{'skills': 1},"{'skills': 3, 'finance': 2}",{'skills': 1},"{'skills': 13, 'finance': 8}","{'skills': 2, 'finance': 2}",,"{'skills': 1, 'finance': 1}",{'skills': 10},6,{'skills': 1},1.0
leadership skills,1,The 8 Key Leadership Skills You need to know in 2023 - IMD,,https://www.imd.org/reflections/leadership-skills/,1973.0,1.0,11.0,9.0,7.0,1.0,9.0,11,8,34,112,146,"{'leadership': 1, 'skills': 1}",,"{'leadership': 1, 'skills': 1}","{'leadership': 14, 'skills': 13}","{'leadership': 4, 'skills': 1}",,"{'leadership': 1, 'skills': 1}",,11,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,2,What are Leadership Skills? 15 Skills Every Leader Should ...,"Valuable leadership skills include the ability to delegate, inspire and communicate effectively. Other leadership traits include honesty, confidence, commitment ...",https://www.techtarget.com/searchcio/definition/leadership-skills,2159.0,1.0,2.0,0.0,,4.0,8.0,5,9,15,106,121,"{'leadership': 1, 'skills': 1}",,"{'leadership': 3, 'skills': 3}","{'leadership': 26, 'skills': 14}","{'leadership': 3, 'skills': 3}",,"{'leadership': 1, 'skills': 1}","{'leadership': 1, 'skills': 1}",10,"{'leadership': 1, 'skills': 2}",1.0
leadership skills,3,Leadership in the Workplace: 10 Skills To Develop (With ...,7 days ago — 10 key leadership skills · 1. Decisiveness · 2. Integrity · 3. Creativity · 4. Flexibility · 5. Positive attitude · 6. Communication · 7. Relationship- ...,https://www.indeed.com/career-advice/resumes-cover-letters/leadership-skills,8.0,0.0,,0.0,,0.0,,0,0,0,0,0,,,,,,,"{'leadership': 1, 'skills': 1}",,0,,1.0
leadership skills,4,Leadership Skills | SkillsYouNeed,"There are a number of broad skill areas that are particularly important for leaders. · These include strategic thinking, planning and delivery, people management ...",https://www.skillsyouneed.com/leadership-skills.html,3097.0,1.0,2.0,4.0,3.0,9.0,4.44,14,17,5,260,265,"{'leadership': 1, 'skills': 1}","{'leadership': 2, 'skills': 1}","{'leadership': 1, 'skills': 6}","{'leadership': 38, 'skills': 41}","{'leadership': 17, 'skills': 47}",,"{'leadership': 1, 'skills': 1}","{'leadership': 4, 'skills': 17}",0,,1.0
leadership skills,5,The Top 24 Leadership Skills That Make a Great Leader,"Jan 17, 2023 — 24 Examples of the Most In-Demand Leadership Skills · Active listening · Empathy · The ability to share clear messages and make complex ideas easy ...",https://haiilo.com/blog/what-are-the-top-leadership-skills-that-make-a-great-leader/,3297.0,1.0,12.0,10.0,7.5,14.0,6.93,25,114,2,141,143,"{'leadership': 1, 'skills': 1}","{'leadership': 7, 'skills': 4}",,"{'leadership': 34, 'skills': 30}","{'leadership': 4, 'skills': 4}",,"{'leadership': 1, 'skills': 1}",,12,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,6,Important Leadership Skills for Workplace Success,"Dec 3, 2022 — Effective leaders have the ability to communicate well, motivate their team, handle and delegate responsibilities, listen to feedback, and have ...",https://www.thebalancemoney.com/top-leadership-skills-2063782,1834.0,1.0,6.0,15.0,3.0,5.0,2.6,21,36,16,202,218,"{'leadership': 1, 'skills': 1}","{'leadership': 2, 'skills': 4}",,"{'leadership': 8, 'skills': 23}","{'leadership': 1, 'skills': 3}",,"{'leadership': 1, 'skills': 1}","{'leadership': 6, 'skills': 12}",6,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,7,10 Most Important Leadership Skills For The 21st Century ...,"Jul 26, 2022 — 3. Inspiring trust · 4. Taking on and giving up responsibility · 5. Thinking strategically · 6. Setting goals and expectations for everyone · 7.",https://www.forbes.com/sites/bernardmarr/2022/07/26/10-most-important-leadership-skills-for-the-21st-century-workplace-and-how-to-develop-them/,1327.0,1.0,15.0,0.0,,3.0,4.0,4,1,1,44,45,"{'leadership': 1, 'skills': 1}",,,"{'leadership': 5, 'skills': 7}",{'skills': 1},,"{'leadership': 1, 'skills': 1}",,15,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,8,The Core Leadership Skills You Need in Every Role | CCL,"These are the fundamental 4 leadership skills needed by leaders at every organization, regardless of role, industry, or location: self-awareness, communication, ...",https://www.ccl.org/articles/leading-effectively-articles/fundamental-4-core-leadership-skills-for-every-career-stage/,1744.0,1.0,9.0,6.0,3.67,10.0,6.0,17,32,70,148,218,"{'leadership': 1, 'skills': 1}","{'leadership': 2, 'skills': 2}","{'leadership': 4, 'skills': 2}","{'leadership': 35, 'skills': 26}","{'leadership': 37, 'skills': 8}",{'leadership': 4},"{'leadership': 1, 'skills': 1}","{'leadership': 34, 'skills': 8}",9,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,9,How to Improve Your Leadership Skills,Leadership Skills That Can Advance Your Career · Taking initiative · Critical thinking · Effective listening · Motivating others · Discipline · Continued learning ...,https://www.investopedia.com/articles/pf/12/leadership-skils.asp,2053.0,1.0,6.0,11.0,3.0,1.0,2.0,13,15,23,199,222,"{'leadership': 1, 'skills': 1}","{'leadership': 1, 'skills': 1}",,"{'leadership': 11, 'skills': 17}","{'leadership': 3, 'skills': 6}",,{'leadership': 1},,6,"{'leadership': 1, 'skills': 1}",1.0
leadership skills,10,6 Leadership Skills You Need for Business Success,"Sep 16, 2021 — What Are the Top Leadership Skills for Business? · 1. Emotional Intelligence · 2. Communication · 3. The Ability to Bring Out the Best Performance.",https://online.hbs.edu/blog/post/leadership-skills,2399.0,1.0,8.0,5.0,3.8,21.0,2.19,27,10,250,41,291,"{'leadership': 1, 'skills': 1}","{'leadership': 3, 'skills': 3}",,"{'leadership': 21, 'skills': 17}","{'leadership': 29, 'skills': 2}",{'leadership': 2},"{'leadership': 1, 'skills': 1}","{'leadership': 3, 'skills': 1}",11,"{'leadership': 1, 'skills': 1}",1.0
writing a good CV,1,Writing a good CV - British Council Learn English,,https://learnenglish.britishcouncil.org/business-english/business-magazine/writing-good-cv,1363.0,1.0,4.0,9.0,2.89,19.0,3.21,29,8,148,16,164,"{'cv': 1, 'good': 1, 'writing': 1}",{'cv': 1},,"{'cv': 15, 'good': 4, 'writing': 3}",{'writing': 2},{'writing': 1},"{'cv': 1, 'good': 1, 'writing': 1}",,4,"{'a': 1, 'cv': 1, 'good': 1, 'writing': 1}",1.0
writing a good CV,2,How to write a CV | Prospects.ac.uk,"Use active verbs when possible · A good CV doesn't have any spelling or grammar mistakes · Avoid generic, over-used phrases · Tailor your CV · Create the right type ...",https://www.prospects.ac.uk/careers-advice/cvs-and-cover-letters/how-to-write-a-cv,2040.0,1.0,5.0,21.0,3.95,3.0,1.67,25,7,143,14,157,{'cv': 1},"{'cv': 7, 'good': 1}",,"{'cv': 14, 'good': 1}","{'cv': 25, 'good': 3}",,{'cv': 1},,0,,1.0
writing a good CV,3,How to Write a CV: Make the Perfect Curriculum Vitae in ...,"Feb 1, 2023 — Pick the right CV format · Add your name contact information · Start with a personal profile and your title · List your relevant work experience ...",https://zety.com/blog/how-to-write-a-cv,5241.0,1.0,12.0,18.0,7.06,22.0,5.91,41,25,90,137,227,,{'cv': 9},"{'cv': 18, 'good': 1, 'writing': 1}","{'cv': 121, 'good': 6, 'writing': 11}","{'cv': 59, 'good': 1, 'writing': 1}",,{'cv': 1},{'cv': 8},12,{'a': 1},1.0
writing a good CV,4,How to Write a CV (Curriculum Vitae) in 2023 [31+ Examples],"Complete step-by-step guide on how to write a Curriculum Vitae (CV). Beginner-friendly, with 31+ practical examples and samples. 16+ CV templates.",https://novoresume.com/career-blog/how-to-write-a-cv,3769.0,1.0,11.0,15.0,6.93,7.0,2.57,23,17,24,92,116,{'cv': 1},{'cv': 10},{'cv': 3},"{'cv': 60, 'good': 5, 'writing': 2}","{'cv': 28, 'writing': 2}",,{'cv': 1},{'cv': 11},11,"{'cv': 1, 'a': 1}",1.0
writing a good CV,5,How to write a CV,"Make your CV easy to read · use a black, easy-to-read font in one size · use short sentences and break up blocks of text · use bullet points to list information ...",https://www.careers.govt.nz/job-hunting/cvs-and-cover-letters/how-to-write-a-cv/,1559.0,1.0,5.0,2.0,3.0,16.0,3.88,19,9,141,14,155,{'cv': 1},,{'cv': 6},"{'cv': 25, 'good': 1}",{'cv': 18},,{'cv': 1},{'cv': 1},0,,1.0
writing a good CV,6,How to write a CV: Tips and examples,"Jan 3, 2023 — Formatting and general guidelines on how to create a good CV · Keep it brief · Headings · File type · Font type · Font size · Proofread it · Tailoring ...",https://www.cv-library.co.uk/career-advice/cv/how-to-write-a-cv-tips/,1842.0,1.0,8.0,25.0,4.0,10.0,2.8,36,25,20,178,198,,"{'cv': 4, 'good': 1, 'writing': 2}",,"{'cv': 21, 'good': 2, 'writing': 1}","{'cv': 28, 'writing': 5}",{'cv': 5},{'cv': 3},"{'cv': 12, 'writing': 4}",10,{'a': 1},1.0
writing a good CV,7,How to write a CV,Tips for writing a CV · research the company and the job before you start · choose a CV style that fits your situation or one that employers in that sector prefer ...,https://nationalcareers.service.gov.uk/careers-advice/cv-sections,1088.0,1.0,5.0,14.0,2.64,1.0,5.0,16,0,23,10,33,{'cv': 1},"{'cv': 2, 'writing': 1}",,"{'cv': 13, 'good': 1, 'writing': 1}",,,{'cv': 1},,0,,1.0
writing a good CV,8,How To Write A Good CV,"What questions does your CV need to answer? · Include your personal details – name, address, phone number and email. · When you write your employment history and ...",https://career-advice.jobs.ac.uk/academic/how-to-write-a-good-cv/,1623.0,2.0,4.5,9.0,3.78,8.0,5.38,19,30,36,209,245,"{'cv': 1, 'good': 1}",{'cv': 2},{'cv': 3},"{'cv': 34, 'good': 2, 'writing': 8}",{'cv': 14},,"{'cv': 1, 'good': 1}","{'cv': 1, 'writing': 1}",8,"{'cv': 2, 'good': 2, 'a': 2}",1.0
writing a good CV,9,10 steps to a successful CV,10 steps to a successful CV · 1. Keep it real! Usually a CV should be no more than two pages – and that's two pages of A4 paper! · 2. Tailor it. We've all done it ...,https://www.totaljobs.com/advice/successful-cv,3572.0,1.0,6.0,20.0,3.75,60.0,5.93,81,84,18,183,201,{'cv': 1},"{'cv': 1, 'good': 1}","{'cv': 11, 'good': 2}","{'cv': 41, 'good': 5, 'writing': 10}","{'cv': 7, 'good': 1}","{'cv': 34, 'good': 5, 'writing': 8}",{'cv': 1},{'writing': 1},8,"{'cv': 1, 'a': 1}",1.0
writing a good CV,10,Example of a good CV (+ biggest mistakes to avoid!),"Heading: The heading of A CV should be the candidate's full name written in large, bold letters and centred on the page (not Curriculum Vitae or CV). · Email: ...",https://www.cvplaza.com/cv-examples/good-bad-cv/,2724.0,1.0,13.0,15.0,3.8,15.0,2.67,31,39,7,84,91,"{'cv': 2, 'good': 1}","{'cv': 12, 'good': 1, 'writing': 1}",{'cv': 2},"{'cv': 43, 'good': 14, 'writing': 5}","{'cv': 45, 'good': 2, 'writing': 2}",,"{'cv': 2, 'good': 1}","{'cv': 24, 'good': 4}",13,"{'cv': 2, 'good': 1, 'a': 1}",1.0
how to write a proper CV,1,Writing a good CV - British Council Learn English,,https://learnenglish.britishcouncil.org/business-english/business-magazine/writing-good-cv,1363.0,1.0,4.0,9.0,2.89,19.0,3.21,29,8,148,16,164,{'cv': 1},{'cv': 1},,{'cv': 15},,,{'cv': 1},,4,"{'cv': 1, 'a': 1}",1.0
how to write a proper CV,2,How to Write a CV: Make the Perfect Curriculum Vitae in ...,"Feb 1, 2023 — Pick the right CV format · Add your name contact information · Start with a personal profile and your title · List your relevant work experience ...",https://zety.com/blog/how-to-write-a-cv,5241.0,1.0,12.0,18.0,7.06,22.0,5.91,41,25,90,137,227,{'write': 1},"{'write': 1, 'cv': 9}","{'proper': 1, 'write': 2, 'cv': 18}","{'write': 11, 'cv': 121}","{'write': 9, 'cv': 59}",{'write': 3},"{'write': 1, 'cv': 1}","{'write': 1, 'cv': 8}",12,"{'a': 1, 'how': 1, 'to': 1, 'write': 1}",1.0
how to write a proper CV,3,How to write a CV | Prospects.ac.uk,"Use active verbs when possible · A good CV doesn't have any spelling or grammar mistakes · Avoid generic, over-used phrases · Tailor your CV · Create the right type ...",https://www.prospects.ac.uk/careers-advice/cvs-and-cover-letters/how-to-write-a-cv,2040.0,1.0,5.0,21.0,3.95,3.0,1.67,25,7,143,14,157,"{'write': 1, 'cv': 1}","{'write': 2, 'cv': 7}",,"{'write': 2, 'cv': 14}","{'write': 5, 'cv': 25}",,"{'write': 1, 'cv': 1}",,0,,1.0
how to write a proper CV,4,How to Write a CV (Curriculum Vitae) in 2023 [31+ Examples],"Complete step-by-step guide on how to write a Curriculum Vitae (CV). Beginner-friendly, with 31+ practical examples and samples. 16+ CV templates.",https://novoresume.com/career-blog/how-to-write-a-cv,3769.0,1.0,11.0,15.0,6.93,7.0,2.57,23,17,24,92,116,"{'write': 1, 'cv': 1}",{'cv': 10},{'cv': 3},"{'write': 3, 'cv': 60}","{'write': 4, 'cv': 28}",{'write': 3},"{'write': 1, 'cv': 1}",{'cv': 11},11,"{'how': 1, 'write': 1, 'cv': 1, 'to': 1, 'a': 1}",1.0
how to write a proper CV,5,How to write a CV,"Make your CV easy to read · use a black, easy-to-read font in one size · use short sentences and break up blocks of text · use bullet points to list information ...",https://www.careers.govt.nz/job-hunting/cvs-and-cover-letters/how-to-write-a-cv/,1559.0,1.0,5.0,2.0,3.0,16.0,3.88,19,9,141,14,155,"{'write': 1, 'cv': 1}",,{'cv': 6},"{'write': 1, 'cv': 25}","{'write': 4, 'cv': 18}",,"{'write': 1, 'cv': 1}","{'write': 1, 'cv': 1}",0,,1.0
how to write a proper CV,6,How to write a CV,"How to write a CV · You should tailor your CV to suit the job description and the company. · You can also provide a link to your professional networking profile, ...",https://nationalcareers.service.gov.uk/careers-advice/cv-sections,1088.0,1.0,5.0,14.0,2.64,1.0,5.0,16,0,23,10,33,"{'write': 1, 'cv': 1}",{'cv': 2},,"{'write': 1, 'cv': 13}",{'write': 1},,{'cv': 1},,0,,1.0
how to write a proper CV,7,How to write a CV: Tips and examples,"Jan 3, 2023 — You don't need to include the words 'Curriculum Vitae' as your heading. The title of your CV, at the very top, should be your name, professional ...",https://www.cv-library.co.uk/career-advice/cv/how-to-write-a-cv-tips/,1842.0,1.0,8.0,25.0,4.0,10.0,2.8,36,25,20,178,198,{'write': 1},"{'write': 1, 'cv': 4}",,"{'write': 4, 'cv': 21}","{'write': 2, 'cv': 28}","{'write': 1, 'cv': 5}","{'write': 1, 'cv': 3}",{'cv': 12},10,"{'a': 1, 'how': 1, 'to': 1, 'write': 1}",1.0
how to write a proper CV,8,How to Write a CV (Curriculum Vitae): Advice and Examples,,https://www.wikihow.com/Write-a-CV-(Curriculum-Vitae),5485.0,1.0,11.0,9.0,3.89,15.0,3.0,25,173,323,63,386,{'cv': 1},,"{'proper': 1, 'cv': 3}","{'write': 1, 'cv': 8}","{'proper': 1, 'write': 1, 'cv': 5}",,"{'write': 1, 'cv': 1}","{'write': 43, 'cv': 36}",10,"{'how': 1, 'write': 1, 'cv': 1, 'to': 1, 'a': 1}",1.0
how to write a proper CV,9,Example of a good CV (+ biggest mistakes to avoid!),BONUS: CV writing tips · 1. Use short sentences and bullet points · 2. Select an appropriate font · 3. Tailor your CV to the particular job · 4. Use CV templates ...,https://www.cvplaza.com/cv-examples/good-bad-cv/,2731.0,1.0,13.0,15.0,3.8,15.0,2.67,31,39,7,84,91,{'cv': 2},{'cv': 12},"{'write': 2, 'cv': 2}","{'write': 6, 'cv': 43}","{'write': 6, 'cv': 45}",,{'cv': 2},{'cv': 24},13,"{'cv': 2, 'to': 1, 'a': 1}",1.0
how to write a proper CV,10,How To Write A Good CV,"What questions does your CV need to answer? · Include your personal details – name, address, phone number and email. · When you write your employment history and ...",https://career-advice.jobs.ac.uk/academic/how-to-write-a-good-cv/,1623.0,2.0,4.5,9.0,3.78,8.0,5.38,19,30,36,209,245,"{'write': 1, 'cv': 1}","{'write': 1, 'cv': 2}",{'cv': 3},"{'write': 5, 'cv': 34}","{'write': 1, 'cv': 14}",,"{'write': 1, 'cv': 1}",{'cv': 1},8,"{'how': 2, 'write': 2, 'cv': 2, 'to': 2, 'a': 2}",1.0
how to improve my communication skills,1,10 Ways to Improve Your Communication Skills,,https://www.manpowergroup.com/en/insights/10-communication-skills,794.0,1.0,7.0,2.0,6.0,0.0,,3,7,57,17,74,"{'communication': 1, 'skills': 1, 'improve': 1}",{'communication': 1},,"{'communication': 6, 'skills': 7, 'improve': 1}","{'skills': 1, 'communication': 1}",,"{'skills': 1, 'communication': 1}",,9,"{'communication': 1, 'skills': 1, 'improve': 1, 'to': 1}",1.0
how to improve my communication skills,2,Effective Communication: 6 Ways to Improve ...,"Jun 7, 2021 — How to Improve Your Communication Skills ; 1. Practice active listening ; 2. Focus on nonverbal communication ; 3. Manage your own emotions ; 4. Ask ...",https://www.masterclass.com/articles/how-to-improve-your-communication-skills,8.0,0.0,,0.0,,0.0,,0,0,0,0,0,,,,,,,"{'communication': 1, 'skills': 1, 'improve': 1}",,0,,1.0
how to improve my communication skills,3,Eight Things You Can Do To Improve Your Communication ...,"Aug 30, 2021 — Eight Things You Can Do To Improve Your Communication Skills · 1. Be clear and concise · 2. Prepare ahead of time · 3. Be mindful of nonverbal ...",https://professional.dce.harvard.edu/blog/eight-things-you-can-do-to-improve-your-communication-skills/,1914.0,1.0,10.0,13.0,5.85,6.0,4.0,20,10,18,60,78,"{'communication': 1, 'skills': 1, 'improve': 1}",{'communication': 2},,"{'communication': 24, 'skills': 7, 'improve': 1}","{'communication': 1, 'improve': 1}",,"{'communication': 1, 'skills': 1, 'improve': 1}",,16,"{'communication': 1, 'skills': 1, 'improve': 1, 'to': 1}",1.0
how to improve my communication skills,4,Important Communication Skills and How to Improve Them,"Feb 28, 2023 — 1. Put away distractions. ... Improving your overall communication abilities means being fully present. Put away anything that can distract you, ...",https://www.coursera.org/articles/communication-skills,1935.0,1.0,8.0,5.0,3.6,22.0,4.68,28,15,36,74,110,"{'communication': 1, 'skills': 1, 'improve': 1}","{'skills': 1, 'communication': 2}","{'communication': 9, 'skills': 2, 'improve': 1}","{'communication': 34, 'skills': 17, 'improve': 9}","{'skills': 4, 'communication': 1}",,"{'skills': 1, 'communication': 1}",,8,"{'communication': 1, 'how': 1, 'improve': 1, 'skills': 1, 'to': 1}",1.0
